City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Itarema,BR,-2.9248,-39.9167,76.8,83,90,13.85,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,44.47,58,28,6.24,scattered clouds
2,Juneau,US,58.3019,-134.4197,60.8,90,100,4.61,overcast clouds
3,Horki,BY,54.2861,30.9842,59.9,72,99,8.48,overcast clouds
4,Faanui,PF,-16.4833,-151.75,78.03,70,7,7.23,light rain
5,Ancud,CL,-41.8697,-73.8203,52.23,95,100,15.03,light rain
6,Atuona,PF,-9.8,-139.0333,77.5,72,0,22.1,clear sky
7,Vaini,TO,-21.2,-175.2,80.76,89,75,17.27,broken clouds
8,Vanimo,PG,-2.6741,141.3028,83.75,72,36,5.08,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,73.35,74,100,21.18,overcast clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,67.87,83,98,13.85,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,56.12,94,20,6.91,few clouds
12,Kapaa,US,22.0752,-159.319,87.78,71,20,18.41,few clouds
13,Mwene-Ditu,CD,-7.0,23.45,70.57,27,4,6.26,clear sky
14,Bang Saphan,TH,11.2126,99.5117,77.16,89,100,7.4,overcast clouds
15,Assiniboia,CA,49.6334,-105.9845,77.59,32,100,13.76,overcast clouds
16,Provideniya,RU,64.3833,-173.3,53.71,82,0,8.95,clear sky
17,Bethel,US,41.3712,-73.414,77.36,76,2,1.01,clear sky
18,Roald,NO,62.5833,6.1333,61.75,94,20,26.46,light rain
19,New Norfolk,AU,-42.7826,147.0587,53.1,72,98,2.93,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,50.81,90,88,8.68,light rain
21,Busselton,AU,-33.65,115.3333,57.65,69,70,4.38,broken clouds
22,Wenling,CN,28.3669,121.36,87.75,66,63,11.27,broken clouds
23,Albany,US,42.6001,-73.9662,70.05,82,8,3.02,clear sky
24,Yellowknife,CA,62.456,-114.3525,65.61,54,100,20.56,overcast clouds
25,Chara,RU,56.9064,118.2631,61.47,66,73,2.44,broken clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,88.11,66,75,12.66,broken clouds
27,Ushuaia,AR,-54.8,-68.3,35.26,93,100,1.14,overcast clouds
28,Mukhen,RU,48.1,136.1,71.64,58,22,9.98,few clouds
29,Namatanai,PG,-3.6667,152.4333,83.93,71,99,4.63,light rain
30,Dikson,RU,73.5069,80.5464,41.72,89,100,10.87,overcast clouds
31,Sobolevo,RU,54.4299,31.8996,59.43,73,100,8.86,overcast clouds
32,Nikolskoye,RU,59.7035,30.7861,58.87,79,97,4.81,overcast clouds
33,Kavaratti,IN,10.5669,72.642,81.03,83,100,20.58,overcast clouds
34,Aklavik,CA,68.2191,-135.0107,61.84,38,94,12.1,overcast clouds
35,Prince Rupert,CA,54.3161,-130.3201,63.88,76,7,4.21,clear sky
36,Qaanaaq,GL,77.484,-69.3632,34.23,66,41,5.35,scattered clouds
37,Santiago Del Estero,AR,-27.7951,-64.2615,56.3,41,91,10.51,overcast clouds
38,Hilo,US,19.7297,-155.09,92.28,68,0,11.5,clear sky
39,Epe,NG,6.5841,3.9834,74.52,91,100,6.64,overcast clouds
40,Leningradskiy,RU,69.3833,178.4167,47.26,80,53,6.38,broken clouds
41,Caravelas,BR,-17.7125,-39.2481,73.15,78,38,14.7,scattered clouds
42,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,4.61,clear sky
43,Vao,NC,-22.6667,167.4833,68.02,55,0,20.51,clear sky
44,Bluff,NZ,-46.6,168.3333,44.8,56,8,9.4,clear sky
45,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,2.3,clear sky
46,Butaritari,KI,3.0707,172.7902,81.84,73,14,14.74,few clouds
47,Chuy,UY,-33.6971,-53.4616,48.36,86,100,3.74,overcast clouds
48,La Romana,DO,18.4273,-68.9728,80.96,89,75,8.05,broken clouds
49,Rio Grande,BR,-32.035,-52.0986,45.95,84,100,6.55,overcast clouds
50,General Roca,AR,-39.0333,-67.5833,49.75,53,0,11.23,clear sky
51,Camacha,PT,33.0833,-16.3333,67.42,78,40,6.91,scattered clouds
52,Pasewalk,DE,53.5063,13.99,61.9,60,13,4.27,few clouds
53,Igbo Ora,NG,7.4333,3.2833,71.19,92,100,4.65,overcast clouds
54,Severo-Kurilsk,RU,50.6789,156.125,60.51,80,11,7.94,few clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,46.62,82,100,16.15,overcast clouds
56,Samarai,PG,-10.6167,150.6667,79.23,76,96,15.97,overcast clouds
57,Labuhan,ID,-6.8844,112.2051,83.05,70,66,4.81,broken clouds
58,Sisimiut,GL,66.9395,-53.6735,42.03,94,100,3.2,overcast clouds
59,Mar Del Plata,AR,-38.0023,-57.5575,49.08,88,0,10.36,clear sky
60,Melnikovo,RU,56.5558,84.085,68.9,70,3,4.85,clear sky
61,Hobart,AU,-42.8794,147.3294,53.46,72,75,8.05,broken clouds
62,Gat,IL,31.61,34.7642,77.68,100,1,0.22,clear sky
63,Kruisfontein,ZA,-34.0033,24.7314,48.88,90,94,1.66,overcast clouds
64,Nabire,ID,-3.3667,135.4833,76.55,89,100,2.59,overcast clouds
65,Bonavista,CA,48.6499,-53.1147,56.82,75,100,8.39,overcast clouds
66,Castro,BR,-24.7911,-50.0119,46.4,96,100,5.28,overcast clouds
67,Lakhipur,IN,26.0299,90.3041,82.29,81,4,7.45,clear sky
68,Brest,BY,52.1,23.7,54.82,93,7,6.29,clear sky
69,Tamandare,BR,-8.7597,-35.1047,73.26,85,7,4.03,clear sky
70,Baiyin,CN,36.5583,104.2081,76.39,64,66,3.2,broken clouds
71,Nouadhibou,MR,20.931,-17.0347,73.38,78,24,17.27,few clouds
72,Paraiso,CR,9.8383,-83.8656,68.41,98,100,1.25,overcast clouds
73,Nsanje,MW,-16.92,35.262,64.31,91,0,3.04,clear sky
74,Chokurdakh,RU,70.6333,147.9167,71.2,44,100,9.8,overcast clouds
75,Jamestown,US,42.097,-79.2353,65.84,51,0,5.75,clear sky
76,Bilibino,RU,68.0546,166.4372,73.35,53,16,5.26,few clouds
77,Beloha,MG,-25.1667,45.05,62.55,61,1,8.66,clear sky
78,Upernavik,GL,72.7868,-56.1549,40.82,87,100,6.22,overcast clouds
79,Torbay,CA,47.6666,-52.7314,58.57,87,100,7.0,overcast clouds
80,Cap-Aux-Meules,CA,47.3821,-61.8597,64.94,81,100,13.49,overcast clouds
81,Dickinson,US,29.4608,-95.0513,77.99,89,40,9.22,scattered clouds
82,Troitsko-Pechorsk,RU,62.7084,56.1964,53.47,96,100,7.29,light rain
83,Souillac,MU,-20.5167,57.5167,66.58,77,75,18.41,light rain
84,Tessalit,ML,20.1986,1.0114,88.03,39,44,7.78,scattered clouds
85,Douentza,ML,14.9951,-2.9517,84.58,63,43,3.47,scattered clouds
86,San Cristobal,VE,7.7669,-72.225,77.18,98,100,2.86,overcast clouds
87,Khatanga,RU,71.9667,102.5,45.59,69,100,12.66,overcast clouds
88,Bengkulu,ID,-3.8004,102.2655,80.74,72,48,0.98,scattered clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,93,8.01,overcast clouds
90,Esperance,AU,-33.8667,121.9,57.97,68,77,16.87,broken clouds
91,Balkhash,KZ,46.844,74.9804,61.41,77,0,11.18,clear sky
92,Saint-Philippe,RE,-21.3585,55.7679,63.99,80,84,14.29,light rain
93,Baykit,RU,61.67,96.37,58.53,70,100,5.12,overcast clouds
94,Thompson,CA,55.7435,-97.8558,60.24,57,1,2.3,clear sky
95,Berbera,SO,10.4396,45.0143,88.86,42,99,29.95,overcast clouds
96,Ribeira Grande,PT,38.5167,-28.7,72.54,73,53,6.64,broken clouds
97,Namibe,AO,-15.1961,12.1522,60.94,89,3,6.02,clear sky
98,Saint George,US,37.1041,-113.5841,90.43,41,20,8.05,light rain
99,East London,ZA,-33.0153,27.9116,60.85,80,96,1.97,overcast clouds
100,Inhambane,MZ,-23.865,35.3833,67.64,84,0,4.88,clear sky
101,Moron,AR,-34.6534,-58.6198,55.15,71,0,7.0,clear sky
102,Bonthe,SL,7.5264,-12.505,76.01,90,99,10.47,moderate rain
103,Sedhiou,SN,12.7081,-15.5569,75.87,97,100,4.32,overcast clouds
104,Madimba,TZ,-10.4,40.3333,68.65,92,48,6.53,scattered clouds
105,Pevek,RU,69.7008,170.3133,43.14,90,33,3.65,scattered clouds
106,Carnarvon,AU,-24.8667,113.6333,62.17,40,0,18.61,clear sky
107,Catamarca,AR,-28.4696,-65.7852,59.77,47,14,8.99,few clouds
108,Collie,AU,-33.3667,116.15,56.52,65,23,3.06,few clouds
109,At-Bashi,KG,41.1702,75.8106,62.2,49,19,1.68,few clouds
110,Lorengau,PG,-2.0226,147.2712,84.27,70,99,6.13,overcast clouds
111,Hovd,MN,48.0056,91.6419,66.34,47,98,2.19,overcast clouds
112,Tautira,PF,-17.7333,-149.15,77.47,71,83,14.74,broken clouds
113,Vallenar,CL,-28.5708,-70.7581,64.45,36,100,1.34,overcast clouds
114,Terney,RU,45.0503,136.6092,77.77,52,83,6.91,broken clouds
115,Victor Harbor,AU,-35.5667,138.6167,57.99,64,13,3.0,few clouds
116,Krutaya Gorka,RU,55.3649,73.2231,65.88,89,100,9.66,overcast clouds
117,Barrow,US,71.2906,-156.7887,46.42,93,100,12.66,light rain
118,Grand Forks,US,47.9417,-97.4337,71.33,56,0,9.22,clear sky
119,Cockburn Town,TC,21.4612,-71.1419,81.68,77,4,18.66,clear sky
120,Mecca,SA,21.4267,39.8261,88.61,62,99,8.32,overcast clouds
121,Lompoc,US,34.6391,-120.4579,85.57,67,0,13.8,clear sky
122,Avarua,CK,-21.2078,-159.775,77.05,69,100,16.11,overcast clouds
123,Muskegon,US,43.3,-86.1334,73.89,80,40,5.75,scattered clouds
124,Wajima,JP,37.4,136.9,90.28,70,40,9.22,scattered clouds
125,Egvekinot,RU,66.3167,-179.1667,60.31,65,15,5.08,few clouds
126,Kieta,PG,-6.2167,155.6333,84.96,67,100,5.66,light rain
127,Olafsvik,IS,64.8945,-23.7142,49.03,78,100,7.45,overcast clouds
128,Zhangye,CN,38.9342,100.4517,81.48,53,40,0.43,scattered clouds
129,Abu Kamal,SY,34.4506,40.9171,81.72,40,0,11.45,clear sky
130,Danielskuil,ZA,-28.1887,23.5395,52.68,28,89,5.06,overcast clouds
131,Victoria,HK,22.2855,114.1577,86.32,86,95,8.99,overcast clouds
132,Brae,GB,60.3964,-1.353,54.37,92,100,13.24,overcast clouds
133,Saskylakh,RU,71.9167,114.0833,49.57,75,100,14.29,overcast clouds
134,Ilulissat,GL,69.2167,-51.1,42.82,87,100,5.75,light intensity shower rain
135,Hithadhoo,MV,-0.6,73.0833,82.08,73,3,10.07,clear sky
136,Hakkari,TR,37.5833,44.1667,51.58,71,0,3.44,clear sky
137,Barreirinha,BR,-2.7933,-57.07,76.42,51,67,1.5,broken clouds
138,Severomuysk,RU,56.1481,113.4267,48.34,81,100,1.92,overcast clouds
139,Richards Bay,ZA,-28.783,32.0377,62.22,90,6,3.02,clear sky
140,Mountain Home,US,43.133,-115.6912,85.48,37,75,16.11,broken clouds
141,Mundwa,IN,27.0667,73.8167,83.91,66,6,17.18,clear sky
142,Port Moresby,PG,-9.4431,147.1797,85.42,62,75,13.8,broken clouds
143,Zemio,CF,5.0314,25.1361,69.06,98,100,2.33,overcast clouds
144,Port Lincoln,AU,-34.7333,135.8667,53.85,83,75,28.7,broken clouds
145,Krasnogorsk,RU,55.8225,37.3181,57.54,82,0,2.24,clear sky
146,Lazaro Cardenas,MX,17.9583,-102.2,82.54,73,100,3.49,overcast clouds
147,Lebu,CL,-37.6167,-73.65,46.36,85,2,3.49,clear sky
148,King City,US,36.2127,-121.126,81.64,32,0,10.69,clear sky
149,Agua Verde,MX,22.9,-106.05,86.09,76,100,10.07,overcast clouds
150,Kaitangata,NZ,-46.2817,169.8464,44.71,61,30,5.77,scattered clouds
151,Bredasdorp,ZA,-34.5322,20.0403,53.31,93,100,3.0,overcast clouds
152,Fortuna,US,40.5982,-124.1573,72.09,75,0,13.8,clear sky
153,Natal,BR,-5.795,-35.2094,75.42,94,0,4.61,clear sky
154,Bud,US,39.447,-86.1758,75.04,83,0,3.87,clear sky
155,Shumikha,RU,55.2261,63.2961,65.32,78,72,0.89,broken clouds
156,Saint-Augustin,CA,51.226,-58.6502,56.88,88,0,8.25,clear sky
157,Fairbanks,US,64.8378,-147.7164,66.09,43,0,3.44,clear sky
158,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,14.97,broken clouds
159,Bambous Virieux,MU,-20.3428,57.7575,67.21,77,75,18.41,broken clouds
160,Chumikan,RU,54.7183,135.315,55.85,91,100,7.72,overcast clouds
161,Tiksi,RU,71.6872,128.8694,53.83,60,100,3.69,overcast clouds
162,Nhulunbuy,AU,-12.2333,136.7667,83.01,61,75,16.11,broken clouds
163,Te Anau,NZ,-45.4167,167.7167,42.31,69,40,1.66,scattered clouds
164,Paita,PE,-5.0892,-81.1144,63.01,85,100,12.59,overcast clouds
165,Coracao De Jesus,BR,-16.6853,-44.365,68.49,62,97,11.07,overcast clouds
166,Puerto Princesa,PH,9.7392,118.7353,85.98,74,40,2.3,scattered clouds
167,Norman Wells,CA,65.282,-126.8329,59.0,42,77,11.63,broken clouds
168,Tasiilaq,GL,65.6145,-37.6368,39.36,77,98,3.53,overcast clouds
169,San Andres,CO,12.5847,-81.7006,84.22,84,20,13.8,few clouds
170,Taltal,CL,-25.4,-70.4833,58.35,72,24,3.4,few clouds
171,Ostrovnoy,RU,68.0531,39.5131,58.37,76,100,24.25,overcast clouds
172,Srednekolymsk,RU,67.45,153.6833,77.45,44,100,1.99,overcast clouds
173,Alta Floresta,BR,-9.8756,-56.0861,76.14,52,73,5.95,broken clouds
174,Vila Velha,BR,-20.3297,-40.2925,76.95,78,0,8.05,clear sky
175,Bay Roberts,CA,47.5999,-53.2648,58.14,90,100,5.01,overcast clouds
176,Sayyan,YE,15.1718,44.3244,62.2,72,87,3.76,overcast clouds
177,Mtsamboro,YT,-12.6998,45.0689,74.52,72,0,13.09,clear sky
178,Kedrovyy,RU,56.1667,91.8167,61.21,70,0,2.91,clear sky
179,Half Moon Bay,US,37.4636,-122.4286,81.59,68,0,24.16,clear sky
180,Beneditinos,BR,-5.45,-42.3667,74.77,43,48,0.85,scattered clouds
181,Asau,RO,46.4333,26.4,59.92,88,17,4.94,few clouds
182,Margate,GB,51.3813,1.3862,67.89,94,0,5.01,clear sky
183,Tocopilla,CL,-22.092,-70.1979,59.22,72,4,1.66,clear sky
184,Alofi,NU,-19.0595,-169.9187,82.29,65,40,10.36,scattered clouds
185,Chapais,CA,49.7834,-74.8492,56.82,94,50,7.85,scattered clouds
186,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.49,84,11,3.67,few clouds
187,Kenai,US,60.5544,-151.2583,68.09,43,0,16.11,clear sky
188,Normandin,CA,48.8333,-72.5321,61.75,94,49,8.52,scattered clouds
189,Klaksvik,FO,62.2266,-6.589,52.72,83,50,18.43,scattered clouds
190,Pundaguitan,PH,6.3711,126.1689,82.71,71,61,2.21,broken clouds
191,Kolobovo,RU,56.702,41.3417,52.79,82,0,4.38,clear sky
192,Elizabethton,US,36.3487,-82.2107,70.97,74,100,0.0,overcast clouds
193,Eyl,SO,7.9803,49.8164,77.09,72,87,21.9,overcast clouds
194,Avera,US,33.194,-82.5271,75.25,61,100,2.37,light rain
195,Rudovci,RS,44.3801,20.4051,63.05,62,1,4.59,clear sky
196,Clyde River,CA,70.4692,-68.5914,38.5,85,35,4.41,scattered clouds
197,La Asuncion,VE,11.0333,-63.8628,78.53,83,100,3.44,overcast clouds
198,Betsiamites,CA,48.9413,-68.646,56.55,92,0,1.7,clear sky
199,Sumter,US,28.7086,-82.0831,83.08,72,96,4.56,overcast clouds
200,Hasaki,JP,35.7333,140.8333,91.8,80,27,20.51,scattered clouds
201,Poum,NC,-20.2333,164.0167,71.83,55,0,20.92,clear sky
202,Huainan,CN,32.6264,116.9969,94.5,54,100,6.53,overcast clouds
203,Khairagarh,IN,26.95,77.8167,83.75,67,95,14.9,overcast clouds
204,Kahului,US,20.8947,-156.47,89.62,45,20,31.07,few clouds
205,Ponta Do Sol,PT,32.6667,-17.1,70.72,87,24,4.97,few clouds
206,Timmins,CA,48.4669,-81.3331,58.08,73,4,9.44,clear sky
207,Port Alfred,ZA,-33.5906,26.891,58.62,85,59,5.37,broken clouds
208,Mahebourg,MU,-20.4081,57.7,67.24,77,75,18.41,broken clouds
209,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,0,12.66,clear sky
210,Linxia,CN,35.6003,103.2064,74.01,78,100,2.62,overcast clouds
211,Plainview,US,40.7765,-73.4673,78.26,78,20,8.05,few clouds
212,Juegang,CN,32.3174,121.1855,94.91,67,84,4.63,broken clouds
213,Abreu E Lima,BR,-7.9117,-34.9028,76.86,88,40,5.21,scattered clouds
214,Fort Nelson,CA,58.8053,-122.7002,77.95,47,100,4.25,overcast clouds
215,Almaznyy,RU,48.0448,40.045,75.49,42,49,12.53,scattered clouds
216,Krasnoarmeysk,RU,51.0239,45.6969,67.59,60,43,9.19,scattered clouds
217,Codrington,AU,-38.2667,141.9667,53.44,76,100,16.04,overcast clouds
218,Chudniv,UA,50.052,28.1175,58.48,73,62,7.58,broken clouds
219,Husavik,IS,66.0449,-17.3389,45.73,83,100,5.26,overcast clouds
220,Yilan,TW,24.757,121.753,94.01,56,14,5.91,few clouds
221,Cayhagan,PH,9.6697,122.4256,82.92,74,55,3.8,broken clouds
222,Mattru,SL,7.6244,-11.8332,73.18,98,100,3.96,moderate rain
223,Tuatapere,NZ,-46.1333,167.6833,45.64,63,17,5.41,few clouds
224,Sembe,CG,1.6481,14.5806,73.78,82,99,3.8,overcast clouds
225,Pietroasa,RO,46.5833,22.55,57.15,88,0,5.06,clear sky
226,Ust-Maya,RU,60.4167,134.5333,59.02,83,100,1.7,overcast clouds
227,Sahuaripa,MX,29.05,-109.2333,71.49,95,100,1.88,overcast clouds
